TION;401427
MENT;316179
EMEN;256103
DELA;228103
IQUE;224775
ATIO;221432
ELLE;188131
ESDE;187407
DANS;175003
POUR;160872
EDES;155710
ONDE;141450
EPAR;133916
IOND;125878
IONS;122045
EDEL;121628
ILLE;119342
ANSL;119001
ENTE;118750
QUEL;118418
AIRE;117348
PLUS;113616
NTRE;113250
ELES;112982
NTDE;111542
QUES;109927
ENTA;109095
LEME;107419
SLES;107080
SONT;107055
ENTD;103064
COMM;102884
EURS;102311
PRES;101963
ECON;98670
OMME;98438
REDE;98099
OUVE;96943
ONNE;96314
PART;96041
TRES;94292
IERE;92160
TEDE;91514
ESET;91051
ENTR;89541
ESEN;89009
LEDE;87202
IENT;86470
ARTI;86171
RLES;84920
NTLE;84434
ENTS;84173
NSLE;83356
TDES;83088
LEUR;82176
AVEC;81806
PORT;81438
EEST;80754
SDES;80537
CONS;80294
ANCE;80189
SION;80123
EQUI;79558
ETTE;78128
RESE;77304
LEST;75998
TLES;75965
ETRE;75204
URLE;74884
TANT;74659
LLES;73938
PARL;73824
COMP;73449
CTIO;73394
INTE;72927
ETDE;72593
SDEL;72585
TEUR;72247
ESCO;72017
ESON;71629
SENT;71462
CONT;71364
ESSE;70490
ENTL;70391
DELE;69784
ENCE;69601
TIQU;69581
EDAN;69432
NDES;67782
MAIS;67434
LESP;67191
ESTE;67112
EPOU;66804
ANTE;66408
ONTR;66346
RENT;65516
LESE;65224
EREN;65008
ESLE;64275
DESA;64061
SURL;64052
EQUE;63123
EPRE;62988
SPAR;62984
ECOM;62841
SSON;62825
DESE;62361
NTER;62089
ERES;61440
ESPA;61415
EDEC;60780
ILES;60726
SQUE;60497
VERS;59575
OURS;58441
ISTE;58127
AINE;58080
LESA;58009
TURE;57797
MBRE;57714
LESD;57672
ENTI;57074
ESTA;56793
LESC;56264
NTEN;55777
RELE;55738
APRE;55218
OURL;55070
TUNE;55006
ETAI;54997
CETT;54816
RANC;54262
ANTS;54178
EUNE;53869
IONA;53761
ETLE;53426
IRES;53156
ARLE;52734
OIRE;52583
ERIE;52208
ANDE;52174
LORS;52133
QUED;51945
DECO;51918
ESUR;51510
ESSO;51083
RATI;51047
CEDE;50988
LACO;50773
ELAC;50549
RESS;50408
DEUX;50364
RESD;50192
TOUT;49953
UELE;49942
AINS;49904
ONTE;49837
TDEL;49833
ITES;49832
TENT;49713
QUIL;49677
FRAN;49603
UTRE;49416
REMI;49408
DECE;49367
ORTE;49314
ASSE;49204
ESPR;49081
ESPO;49067
ANTL;48947
SEDE;48869
VENT;48850
NDAN;48772
DESC;48757
ITIO;48666
ERLE;48599
LECO;48467
URDE;48288
ENNE;47994
ESTR;47991
EMIE;47665
MIER;47439
ITED;46989
RDES;46932
FORM;46892
ELAP;46819
IONN;46544
ONSE;46348
NEDE;45875
DESP;45830
OUTE;45783
LISE;45647
EDEP;45644
AUTR;45532
NSDE;45496
PREM;45477
ABLE;45410
ECHA;45394
DEDE;45385
ALEM;45331
ENSE;45089
NTLA;44655
ISON;44512
ERRE;44411
ONNA;44341
DUNE;44299
EPRO;44149
ESRE;43991
UEDE;43906
ECES;43843
ESTU;43786
VANT;43769
NDEL;43565
RAND;43356
LESS;43325
ESQU;43253
RSDE;43171
ENTP;43012
INES;42903
ESSI;42766
DERE;42533
NSLA;42523
ESES;42420
FAIT;42333
REST;42318
SQUI;42267
URLA;42209
ENDA;42147
JOUR;42143
DESO;41995
NNEE;41977
USSI;41951
ISSE;41951
VOIR;41738
IONE;41719
SCON;41621
ALES;41608
GRAN;41432
ESPE;41324
COUR;41320
ETOU;41216
MEME;41080
RECO;40966
RAIT;40892
SDAN;40860
ANTD;40834
PUIS;40796
NTES;40701
RSON;40658
NEST;40590
LARE;40588
TEME;40520
EURE;40216
ELEC;40195
TAIT;40011
EURD;39875
ESTI;39770
ESAU;39598
CEST;39254
STUN;39251
ONST;38981
TOUR;38793
ENOM;38771
VILL;38676
TATI;38644
EDER;38568
ALLE;38397
LLED;38271
SPOU;38216
EPLU;37953
EAUX;37933
DANT;37886
IEUR;37834
NCES;37750
DEST;37627
REPR;37621
LLEE;37573
TELE;37515
DENT;37489
ESTL;37484
TAIN;37259
ELAR;37256
SCOM;37244
TPAR;37160
IGNE;37019
AIEN;37008
LAPR;37001
NTUN;36881
DESS;36859
SANT;36852
SDEC;36816
ANNE;36808
LITE;36616
RELA;36536
ETRA;36502
SONN;36401
TPAS;36335
TERE;36152
ALIS;36085
IERS;36067
ENCO;35924
NTET;35815
ESAN;35687
EDUN;35674
ONDU;35650
AUSS;35634
UELL;35583
ECTI;35462
ESOU;35427
INDE;35379
ERAL;35264
NEES;35223
ESTD;35086
TREL;35041
ERME;34968
ETRO;34888
AVAI;34691
DEMA;34662
IRED;34607
AILL;34595
ERDE;34519
SSUR;34508
SSIO;34503
LLEM;34232
IEDE;34162
TOIR;34156
UITE;34149
NTRA;34147
STRA;34016
RESP;33931
QUEE;33765
UNES;33752
TROU;33722
URES;33386
STRE;33373
NEME;33356
AQUE;33220
ECOU;33108
ETEN;33034
ESLA;32945
RTIE;32900
ANTA;32890
OURD;32829
ETER;32778
ERSO;32709
SERV;32688
ESDA;32645
LATI;32608
PEND;32602
AITE;32465
ONSD;32456
OUPE;32452
CENT;32388
GENE;32322
ISES;32235
UVER;32193
TERR;32192
ALOR;32170
LEPR;32162
TEMP;32116
REME;32094
AISS;32082
TQUE;32055
EALA;32027
ACON;32026
EMAI;31999
MEDE;31875
ISSA;31871
REND;31864
MAIN;31827
LACE;31645
TCON;31629
NTPA;31628
SEST;31622
ESDU;31614
ENER;31610
RESA;31570
AISO;31489
LERE;31486
NDRE;31473
DEPA;31437
ERNE;31426
ESSU;31412
LIER;31370
ELAS;31272
NATI;31244
NCED;31215
ECHE;31184
LESM;31127
SSAN;31126
EMON;31102
ROIS;31062
IENN;31056
ONCE;31048
ESTP;31029
AGES;30973
ESCE;30873
MATI;30850
POSE;30810
NIER;30741
VECL;30741
ESMA;30737
CIEN;30670
MPOR;30666
ONAL;30658
RUNE;30653
NTAL;30646
ITRE;30617
CHAN;30550
TRAI;30478
MMEN;30365
FERE;30276
URSD;30273
NERA;30267
PARA;30251
ISTO;30217
ITDE;30194
NIQU;30093
LEMA;30092
ECLE;30030
EDEM;30025
OMBR;30025
TESD;30017
TSDE;29987
UTIL;29958
NOUV;29921
AISE;29884
LAVI;29824
NALE;29732
ERET;29711
CONN;29679
TDAN;29619
SPEC;29596
SOUS;29595
EETL;29593
MONT;29544
ORME;29519
ILIS;29398
ESIL;29389
TRED;29370
ENDE;29364
EAVE;29340
SIDE;29318
ORTA;29234
RTIC;29222
ONTA;29220
EGAL;29206
ELAM;29192
RISE;29127
UNEP;29113
RESI;28994
ANGE;28924
ELAN;28914
PERS;28886
ESIN;28881
BLES;28871
TERI;28738
RALE;28719
EPER;28717
SPRO;28691
ROUV;28612
TEST;28608
ETLA;28593
ECET;28589
MAND;28583
EMAN;28559
PEUT;28468
NCON;28465
SSES;28431
SDEP;28383
ENTC;28356
ISEE;28343
ESER;28278
UNEC;28257
MPLE;28230
REET;28220
SITE;28219
PASS;28209
NTAU;28169
TRAN;28071
EPRI;28041
DENO;28033
IENS;28007
DEVE;27941
STRU;27871
SETA;27863
LELE;27841
EMPL;27804
INSI;27701
DEVI;27688
TAIR;27686
DONN;27665
PREN;27583
NNES;27528
NOMB;27505
NANT;27453
AINT;27450
REAL;27417
TIVE;27340
LEES;27336
SECO;27309
TILI;27277
PLAC;27244
RANT;27235
EPEN;27230
EUSE;27222
EDET;27133
EETD;27081
ENTU;27055
QUEC;27054
QUIP;27029
FOIS;27027
ESAL;26953
DEME;26931
URSE;26836
RESL;26802
EVEN;26771
NESE;26705
LUSI;26661
COND;26648
ACTI;26643
TIER;26629
OUSL;26622
UVEN;26615
ESSA;26589
ERSE;26585
ETIT;26584
TESE;26563
ROUP;26545
LEPO;26509
GALE;26435
HIST;26435
OGRA;26409
RITE;26379
EETA;26329
NTQU;26320
DIFF;26319
ONDA;26289
TREP;26212
ELEP;26205
SELE;26202
STER;26156
SUNE;26121
LESO;26095
EMAR;26058
EILL;26047
TEAU;26025
ARDE;26007
TREE;25999
SOCI;25995
EDEV;25949
UBLI;25948
SPLU;25932
ELAT;25910
PRIS;25833
NNEL;25775
OURN;25770
TRAV;25744
LESI;25733
DELI;25720
CATI;25687
DETR;25669
TETE;25648
VIEN;25619
CHER;25612
NENT;25543
UELA;25542
MMUN;25448
SSER;25404
DESD;25392
PROP;25371
OULE;25308
RAIN;25274
AVAN;25257
ESCH;25234
SETD;25219
OMMU;25213
AUDE;25197
APAR;25190
TITU;25190
ORMA;25177
EINT;25175
IDEN;25168
AUTE;25145
PARE;25143
ISAT;25133
TALE;25109
CESS;25098
ECLA;25080
LEQU;25057
RIER;25046
RENC;25044
EMBR;25041
LAIR;25035
IBLE;24978
CEQU;24972
LECT;24970
RIQU;24960
RECE;24955
RCHE;24880
EREC;24864
EDEN;24837
GEDE;24833
SPRE;24814
ARLA;24806
ERLA;24805
VEAU;24799
ESCA;24793
DESM;24783
AITD;24715
DESI;24677
SATI;24524
ELAV;24524
CONC;24510
ENDR;24504
EPUI;24501
CERT;24460
USLE;24430
SIQU;24342
LESR;24309
NSTR;24278
PERM;24188
EFAI;24162
REDU;24122
ILLA;24109
ICAT;24105
QUIS;24022
LENT;24001
PUBL;23995
VAIT;23965
ESDI;23943
LIQU;23930
REQU;23928
RODU;23924
ELON;23919
SILE;23914
IVER;23913
LADE;23910
ERAT;23896
STAN;23824
AGED;23798
ALIT;23788
NTSE;23765
CHES;23739
NELE;23732
TIEN;23729
IONL;23723
TETR;23709
RAPH;23664
REPA;23655
AGNE;23631
APPE;23598
EREP;23591
ERTA;23538
LETE;23531
GRAP;23482
ATEU;23454
REEN;23405
NSUN;23334
TERN;23252
DEMO;23197
RQUE;23180
TPOU;23160
UREN;23093
RTAI;23079
LOGI;23027
BIEN;23002
LEPA;23000
SAIN;22991
NTSD;22968
ESPL;22964
LAME;22918
ONET;22915
TROI;22906
ETAT;22905
TDEC;22905
LANC;22866
EMBL;22834
ONLE;22828
ELAF;22824
PRIN;22824
SSEM;22794
EEDE;22790
QUEN;22720
LAGE;22662
ECTE;22660
LESL;22657
SEMB;22656
ITUE;22586
ONTI;22559
ISTR;22539
CHAR;22524
IALE;22523
UTES;22519
ANCA;22493
LEET;22489
ESAV;22479
DECH;22464
STEN;22464
ERED;22461
IREC;22446
IONP;22442
ICIE;22434
GROU;22397
AETE;22338
DEPR;22324
MILL;22315
EMES;22314
SSED;22280
SUIT;22248
MOND;22246
ARCH;22244
DERN;22240
ITEE;22223
TSUR;22204
EGRA;22198
STES;22195
ELEM;22192
SQUA;22190
REGI;22153
RETE;22147
ANTI;22145
PERI;22138
ESTC;22130
SETL;22060
ONSA;22060
SEME;22057
REUN;22053
LAMA;22029
NTIN;22020
SESP;22000
IMPO;21987
LLEC;21981
TTRE;21979
APHI;21951
NTIE;21938
OLOG;21926
RDEL;21875
LLEA;21866
SERE;21858
RSQU;21858
ACOM;21846
ELEV;21819
AUCO;21812
EDEF;21800
SANS;21791
EPAS;21779
RINC;21732
ELUI;21696
ELET;21686
INED;21684
EENT;21672
RAVA;21649
AUTO;21637
EREM;21623
ISDE;21572
LIEU;21564
ONTL;21544
OURC;21538
EELL;21537
LECH;21513
ESEL;21507
ETES;21475
TCOM;21470
EFOR;21446
ASSI;21443
ONSI;21441
AVOI;21438
LAIS;21379
RTAN;21373
ENOU;21372
SPER;21353
NTCO;21332
ICUL;21302
ANSU;21299
RETR;21284
PROD;21242
EVIE;21241
ESMO;21197
LESF;21189
NCAI;21186
VITE;21180
CESD;21180
DONT;21152
TSON;21152
ITAL;21130
ARTE;21125
COUP;21100
LENO;21094
NTDA;21076
ONES;21071
ENES;21015
ESME;20983
SIGN;20980
TABL;20972
QUEP;20954
TEET;20948
UJOU;20929
CAIS;20927
ISLE;20926
UDES;20922
DEPE;20912
STDE;20911
ACTE;20907
UTIO;20867
USDE;20843
UNED;20842
ESAC;20837
CIPA;20834
RIEU;20828
FOND;20814
EAUC;20798
SDEU;20754
ERSI;20747
DEPU;20725
PETI;20692
SETR;20681
NECO;20643
OSIT;20640
SSEN;20637
LASS;20612
FAIR;20603
DELO;20581
LONG;20567
UIPE;20556
ARRI;20549
AMER;20547
ERNI;20520
NQUE;20511
AUNE;20483
AITP;20480
MBLE;20442
IMEN;20439
EVER;20411
SONP;20385
PARU;20356
SANC;20350
INCI;20346
TORI;20332
CTEU;20322
RMET;20289
QUIE;20251
VERT;20248
NTAI;20244
LLER;20209
SERA;20153
CRIT;20147
FFIC;20146
CELL;20127
LEVE;20127
INST;20111
TREA;20108
ESAI;20106
USIE;20094
UCTI;20081
